,thread_name,init_post
0,"Pathfinder, let's just get to the point","Is it easy? You bet and that’s the actual problem. (Inb4 developer takes this out of context.)It’s tedious just to grind the reputation. I actually like pathfinder. I like the fact you need to explore the zone, do the quests, and stuff. It makes complete and utter sense. That the fun part - reading the new story, exploring new vistas.Revered grind? Boring and tedious. Sure it’s easy, sure you can do it within a month  or two. Sure you should have it do done before part 2 comes out.But that doesn’t change the fact it’s a tedious chore in a game where a lot of the systems including artifact, sorry azerite power is also added onto this as well reputation grinds to continue the war campaign.World quests are not fun. They’re boring after a week or two and doesn’t make the game interesting. Reputation farming is a tedious chore and unless something is done to bring upon a reputation farming system that is actually engaging and fun.We will keep having this dumb discussion."
1,Are Blood Elves the most selfish race?,"At least Orcs and all can point to “YO it be demon blood yo we be cool now” etc etc. and Undead can say “Yo we were bribed by the LK for free drinks if we pretended to be his meat walls” but Blood Elves are just another level.They’re the original Elves who overdosed on the Well of Eternity and are responsible for the Legion discovering Azeroth.Then they throw a tantrum when told that it’s dangerous to use Magic and move away from sensible stuff and create their own doom by overdosing again on their Sunwell.Conveniently hold back from sending a defense force when the original Alliance is being pwned by Trolls and send a small force led by Alleria. Despite having a obligation due to a treaty of sorts.Then cry loud about how it’s so unfair that no one is defending them when the Trolls decide to “LUL let’s now massacre these dudes instead!”Some of them still don’t get over their addiction to magic despite all the silly stuff they’ve done and manipulate a Naa’ru, their leader goes to fel in his addiction.They still try to help Garrosh with the Divine Bell when some of their kind is trying to rejoin the Alliance. That’s some next level of trolling in their own face.There may be some stuff I left out but the only things which you can empathize for are: Garithos and Jaina’s attempted purge.Even Garithos seemed to have held a grudge because of said Blood Elves not defending the Alliance and his family got massacred by Trolls.Jaina was probably justified in ending their eternal stupidity of repeating the same mistakes to satisfy their own ends regardless of the other people."
2,Why all the hostility?,"So, I’ve not been on the forums that long. I recently started reading and posting during lull moments at work. I agree that there is a major problem now. The hostility in the community, and Blizz apparently lack of connection with the community. Here’s looking at you, “Don’t you guys have phones?” That being said, yes pun intended, I realize that we are all passionate about Blizz, I’ve been on the game off and on since the beginning of classic wow, but all the name calling and fighting among ourselves does no good.I am heart-broken over the direction of the game, I won’t deny that. However, I don’t believe in name calling others, trolling others, or causing a mess.TLDR: Can’t we discuss things and disagree on things civilly?? Just sayin…"
3,Really upset I don't get the Night Warrior look,"What is going on here. I am a night elf and I don’t get the Night Warrior look because of my CLASS?!?!? IN customization, there is a look of no blind-fold, with green glowing eyes. Some helms make my eyes dark yellow. And now I am somehow NOT a night elf because of being a DH?This is too much Blizzard. No logic, just random and uncaring.My main is a NE DH. Now I need to re-roll some other character just to enjoy the Night Warrior customization because you don’t recognize me as a Night Elf anymore? Well, in that case , I am beginning to hate you."
4,LFR Is More Fun Than Normal Raiding,"I’ve been running LFR on a couple of alts for the Jaina mount and I have to say it’s been fun running them. The mechanics are still engaging and challenging enough that you have to pay attention or it could mean a wipe. There’s no stress from not maxing your performance,  you can have some fun in chat, and people are more laid back while progressing through the raid.Normal pug raiding is a headache, especially when you’re dealing with toxic raid leaders that kick anyone for sneezing. Bad groups lead to pug hopping all the time since everyone leaves after 1 wipe or raid leader doesn’t know where the problem lies so lowest dps is the first to go then we wipe again because of mechanics.Overall, I feel that LFR is superior to high difficulty raiding and I suggest you add Heroic and Normal difficulty to LFR for those of us that want to avoid the headache of the crazy group finder people.Would you use LFR to get into normal or heroic raiding?"
5,A title you get from Nazjatar needs to be changed,A title you can get is _____ of the Deeps.Doesn’t sound rightShould be1.) Of the Deep2.) Of the DepthsHardly anyone uses deeps anymore plus deep just rolls of the tongue better
6,250k plus waiting in que,I just tried to log into every realm and I added up the number of people in que… Its just under 250k people in que. Unreal .
7,"Dear Blizzard, Please Fix My Bag Space","Hi Blizzard,I think it’s cool that you guys are trying to add new and exciting items to the game.  Unfortunately I’m here to report that my bags just don’t like it.  They are constantly getting full with the gear I need keep for my offspecs, consumables, and now all these crazy items I will rarely, if ever, use.  Maybe try something like making spare parts a currency? Maybe allow items to stack in higher quantities? However you do it my bags will certainly appreciate it.Sincerely,My Bags"
8,Ending subscription because,"Blizzard is proving to be extremely ignorant and not listening to the playerbase on a multitude of issues.Portal Removal: Blizzard should have kept the portals where they were and implemented a portal room not striping them away from us.Avoiding Q&amp;A questions: Devs have constantly avoided questions or showed their complete incompetence on many issues at hand such as “What is fun”, no Ion doing mythic+ on lower keystones doesn’t mean we are having fun it means we are alleviating unnecessary RNG grind for friends/guildies.Gearing: As said in the Q&amp;A more sources of gear does not mean good quality gear nor the acquisition of the gear.And many more. This is why I am ending my subscription."
9,Serious Suggestion: WoW needs a DPS-only Dungeon Queue,"Devs, players, hear me out.DPS queues often take upward of half an hour, due to the ratio of players who are willing to tank/heal versus those that are not. And I genuinely think that the closest the game can come to a solution for this is to create a new kind of dungeon queue that doesn’t require a tank or healer at all.For the sake of this conversation, lets call them  (due to the increasingly chaotic nature of a dungeon where tanks/heals are absent). They’d be available in Normal and Heroic (I’m excluding Mythic/M+ since you can’t queue for those regardless) and drop the same loot as Normal/Heroic dungeons.Upon entering the queue screen, you see a new option: Chaos Dungeons. Out of curiosity you click on it, and a large DISCLAIMER appears.“”From here you actually have to click ‘Yes’ to advance to the queue - that way nobody can say “I didn’t know what I was getting into!”The idea is that the presence of 2 extra damage-dealers could largely compensate for the lack of control that a tank provides, but also make mechanics more relevant than ever as a dps won’t always have the means to survive the stuff a tank can withstand. So interrupts, moving, etc would still matter. And perhaps there could be buffs scattered throughout that players could pick up, like we see in Battlegrounds… they could reduce damage taken, regenerate health, etc.I honestly think this kind of thing could help alleviate the stress of dps classes/specs spending so much time WAITING to do the content they’re trying to do.Thoughts?"
